population,weight,se,target
Lebanon_MBA.SG,0.38865378681790125,0.046108199628660404,Jew_Ashkenazi.HO
CanaryIslands_Guanche.SG,0.08230631222923884,0.021783048630453574,Jew_Ashkenazi.HO
France_Occitanie_EBA.SG,0.5290399009528598,0.036093947884856,Jew_Ashkenazi.HO
CanaryIslands_Guanche.SG,0.09204616062054646,0.020705521815570407,Jew_Ashkenazi.HO_model2
Italy_PianSultano_BA.SG,0.45569988477371715,0.04483725211010914,Jew_Ashkenazi.HO_model2
Syria_TellMasaikh_Medieval.SG,0.4522539546057364,0.05143536313726752,Jew_Ashkenazi.HO_model2
Italy_PianSultano_BA.SG,0.3966094020500084,0.039582090672876304,Jew_Ashkenazi.HO_model3
Tajikistan_Ksirov_Kushan,0.23288294560547332,0.02767715279964451,Jew_Ashkenazi.HO_model3
Syria_TellQarassa_Umayyad,0.3705076523445183,0.03601873272430843,Jew_Ashkenazi.HO_model3
Tajikistan_Ksirov_Kushan,0.15245815611914157,0.04166167338124834,Jew_Ashkenazi.HO_model4
Syria_TellQarassa_Umayyad,0.4345478955513661,0.03702451720160599,Jew_Ashkenazi.HO_model4
France_Occitanie_EBA.SG,0.41299394832949243,0.048557324703030806,Jew_Ashkenazi.HO_model4
Lebanon_MBA.SG,0.29461432753485395,0.03562927075338937,Jew_Ashkenazi.HO_model5
CanaryIslands_Guanche.SG,0.06537237234311244,0.015659478020991213,Jew_Ashkenazi.HO_model5
Italy_PianSultano_BA.SG,0.458514607231827,0.03208103293381482,Jew_Ashkenazi.HO_model5
Tajikistan_Ksirov_Kushan,0.1814986928902066,0.02572201544261747,Jew_Ashkenazi.HO_model5
Lebanon_MBA.SG,0.36849310029197874,0.04289890717991213,Jew_Ashkenazi.HO_model6
CanaryIslands_Guanche.SG,0.07906925657220566,0.020080572356583053,Jew_Ashkenazi.HO_model6
Tajikistan_Ksirov_Kushan,0.08287257517984183,0.041097710109067896,Jew_Ashkenazi.HO_model6
France_Occitanie_EBA.SG,0.46956506795597375,0.042615667095204104,Jew_Ashkenazi.HO_model6
CanaryIslands_Guanche.SG,0.020660078993978294,0.029130422379094086,Jew_Ashkenazi.HO_model7
Tajikistan_Ksirov_Kushan,0.14898760760188756,0.04232223586401513,Jew_Ashkenazi.HO_model7
Syria_TellQarassa_Umayyad,0.40502328260362597,0.05654064268028347,Jew_Ashkenazi.HO_model7
France_Occitanie_EBA.SG,0.4253290308005082,0.053576749456979614,Jew_Ashkenazi.HO_model7
Lebanon_MBA.SG,0.5192961328620319,0.03787543554038446,Jew_Moroccan.HO
CanaryIslands_Guanche.SG,0.1612614724143488,0.018533530163296633,Jew_Moroccan.HO
Tajikistan_Ksirov_Kushan,0.06470352137636136,0.03643049958615582,Jew_Moroccan.HO
France_Occitanie_EBA.SG,0.254738873347258,0.041373489348587436,Jew_Moroccan.HO
Italy_PianSultano_BA.SG,0.07785542376198398,0.05307015025032417,Jew_Tunisian.HO
Tajikistan_Ksirov_Kushan,0.18517233709001937,0.03837517379770577,Jew_Tunisian.HO
Syria_TellQarassa_Umayyad,0.7369722391479967,0.0447085439130195,Jew_Tunisian.HO
Tajikistan_Ksirov_Kushan,0.16696664638699849,0.047627186969970876,Jew_Tunisian.HO_model2
Syria_TellQarassa_Umayyad,0.7487125512402986,0.04042005070780325,Jew_Tunisian.HO_model2
France_Occitanie_EBA.SG,0.084320802372703,0.05903421260236303,Jew_Tunisian.HO_model2
CanaryIslands_Guanche.SG,0.050336901043310144,0.03112064339817366,Jew_Tunisian.HO_model3
Tajikistan_Ksirov_Kushan,0.15381499337732904,0.045195055993712305,Jew_Tunisian.HO_model3
Syria_TellQarassa_Umayyad,0.6766568108034133,0.05907395751107442,Jew_Tunisian.HO_model3
France_Occitanie_EBA.SG,0.11919129477594757,0.06039363974698426,Jew_Tunisian.HO_model3
CanaryIslands_Guanche.SG,0.11277864138652427,0.027656652729839047,Jew_Libyan.HO
Tajikistan_Ksirov_Kushan,0.1377494956697737,0.04321077665268336,Jew_Libyan.HO
Syria_TellQarassa_Umayyad,0.5978991954824651,0.05476097573858502,Jew_Libyan.HO
France_Occitanie_EBA.SG,0.15157266746123696,0.05907672868141116,Jew_Libyan.HO
Tajikistan_Ksirov_Kushan,0.10144119854215825,0.03740972274538712,Jew_Yemenite.HO
Syria_TellQarassa_Umayyad,0.8985588014578417,0.037409722745387154,Jew_Yemenite.HO
Syria_TellMasaikh_Medieval.SG,1,1.1376698354596692e-13,Jew_Iranian.HO
Syria_TellQarassa_Umayyad,0.13000160294798752,0.10051735095519211,Jew_Iraqi.HO
Syria_TellMasaikh_Medieval.SG,0.8699983970520125,0.10051735095519215,Jew_Iraqi.HO
Syria_TellMasaikh_Medieval.SG,1,1.1376698354596692e-13,Jew_Georgian.HO
Lebanon_MBA.SG,0.5398065190910009,0.037907158951247355,Jew_Turkish.HO
CanaryIslands_Guanche.SG,0.07881612402706974,0.01810957077512031,Jew_Turkish.HO
France_Occitanie_EBA.SG,0.3813773568819293,0.03073334655948059,Jew_Turkish.HO
Tajikistan_Ksirov_Kushan,0.1288022201550371,0.04602219012175393,Jew_Turkish.HO_model2
Syria_TellQarassa_Umayyad,0.5822621649399834,0.037386437574387754,Jew_Turkish.HO_model2
France_Occitanie_EBA.SG,0.2889356149049796,0.05666613655637836,Jew_Turkish.HO_model2
Lebanon_MBA.SG,0.5328242054325112,0.037967089937234064,Jew_Turkish.HO_model3
CanaryIslands_Guanche.SG,0.0782144962824246,0.017879770744274603,Jew_Turkish.HO_model3
Tajikistan_Ksirov_Kushan,0.022683650324718658,0.036495152552537186,Jew_Turkish.HO_model3
France_Occitanie_EBA.SG,0.3662776479603455,0.038733901991643394,Jew_Turkish.HO_model3
CanaryIslands_Guanche.SG,0.16878116667628612,0.02797318520265362,Lebanese.HO
Syria_TellMasaikh_Medieval.SG,0.8312188333237139,0.027973185202653676,Lebanese.HO
Lebanon_MBA.SG,0.7036096184590905,0.031241684016724492,Cypriot.HO
France_Occitanie_EBA.SG,0.2963903815409094,0.031241684016724516,Cypriot.HO
CanaryIslands_Guanche.SG,0.22222157094721687,0.027051142716914407,Palestinian.HO
Syria_TellMasaikh_Medieval.SG,0.7777784290527832,0.027051142716914448,Palestinian.HO
CanaryIslands_Guanche.SG,0.1824518769444226,0.02810086892691105,Syrian.HO
Syria_TellMasaikh_Medieval.SG,0.8175481230555774,0.028100868926911046,Syrian.HO
Lebanon_MBA.SG,0.4919963800808356,0.040246826247423505,Italian_South.HO
France_Occitanie_EBA.SG,0.5080036199191644,0.0402468262474235,Italian_South.HO
Lebanon_MBA.SG,0.46334405100939635,0.04863346650586507,Italian_South.HO_model2
CanaryIslands_Guanche.SG,0.026066748557177628,0.02209013379565385,Italian_South.HO_model2
France_Occitanie_EBA.SG,0.510589200433426,0.04028560516741836,Italian_South.HO_model2
