population,weight,se,target
Italy_PianSultano_BA.SG,0.3966094020500084,0.039582090672876304,Jew_Ashkenazi.HO
Tajikistan_Ksirov_Kushan,0.23288294560547332,0.02767715279964451,Jew_Ashkenazi.HO
Syria_TellQarassa_Umayyad,0.3705076523445183,0.03601873272430843,Jew_Ashkenazi.HO
Lebanon_MBA.SG,0.29461432753485395,0.03562927075338937,Jew_Ashkenazi.HO_model2
CanaryIslands_Guanche.SG,0.06537237234311244,0.015659478020991213,Jew_Ashkenazi.HO_model2
Italy_PianSultano_BA.SG,0.458514607231827,0.03208103293381482,Jew_Ashkenazi.HO_model2
Tajikistan_Ksirov_Kushan,0.1814986928902066,0.02572201544261747,Jew_Ashkenazi.HO_model2
CanaryIslands_Guanche.SG,0.06155351522416403,0.03168123068309094,Jew_Moroccan.HO
Italy_PianSultano_BA.SG,0.13186921423833176,0.05519776707880948,Jew_Moroccan.HO
Tajikistan_Ksirov_Kushan,0.2099045544159718,0.03533429152855789,Jew_Moroccan.HO
Syria_TellQarassa_Umayyad,0.5966727161215324,0.06619913733785684,Jew_Moroccan.HO
Italy_PianSultano_BA.SG,0.07785542376198398,0.05307015025032417,Jew_Tunisian.HO
Tajikistan_Ksirov_Kushan,0.18517233709001937,0.03837517379770577,Jew_Tunisian.HO
Syria_TellQarassa_Umayyad,0.7369722391479967,0.0447085439130195,Jew_Tunisian.HO
CanaryIslands_Guanche.SG,0.1165289101224115,0.026055872333433025,Jew_Libyan.HO
Italy_PianSultano_BA.SG,0.1378914290582358,0.04841987904414468,Jew_Libyan.HO
Tajikistan_Ksirov_Kushan,0.1704958290486486,0.03175767825441889,Jew_Libyan.HO
Syria_TellQarassa_Umayyad,0.5750838317707041,0.0559394217860265,Jew_Libyan.HO
Tajikistan_Ksirov_Kushan,0.10144119854215825,0.03740972274538712,Jew_Yemenite.HO
Syria_TellQarassa_Umayyad,0.8985588014578417,0.037409722745387154,Jew_Yemenite.HO
Lebanon_MBA.SG,0.6630740133006461,0.027358363791745458,Jew_Iranian.HO
Tajikistan_Ksirov_Kushan,0.3369259866993539,0.02735836379174545,Jew_Iranian.HO
Lebanon_MBA.SG,0.7695063994334195,0.035585966022041574,Jew_Iraqi.HO
Tajikistan_Ksirov_Kushan,0.2304936005665805,0.03558596602204137,Jew_Iraqi.HO
Lebanon_MBA.SG,0.547949126697927,0.038616627028440036,Jew_Georgian.HO
Italy_PianSultano_BA.SG,0.08232761051333455,0.046789832513384005,Jew_Georgian.HO
Tajikistan_Ksirov_Kushan,0.36972326278873857,0.03576705315132643,Jew_Georgian.HO
Italy_PianSultano_BA.SG,0.2422416155246337,0.04255170220030653,Jew_Turkish.HO
Tajikistan_Ksirov_Kushan,0.20044070253049548,0.032453893404560445,Jew_Turkish.HO
Syria_TellQarassa_Umayyad,0.5573176819448709,0.0350456607762566,Jew_Turkish.HO
Tajikistan_Ksirov_Kushan,0.33016929321525473,0.031055772601688802,Lebanese.HO
Syria_TellQarassa_Umayyad,0.6698307067847452,0.031055772601688836,Lebanese.HO
Lebanon_MBA.SG,0.6612618357909101,0.028853915932756668,Cypriot.HO
Italy_PianSultano_BA.SG,0.24875756495523815,0.032516102966215946,Cypriot.HO
Tajikistan_Ksirov_Kushan,0.08998059925385181,0.027431844322996224,Cypriot.HO
CanaryIslands_Guanche.SG,0.06876175279853491,0.029551677160570677,Palestinian.HO
Tajikistan_Ksirov_Kushan,0.24640472824996437,0.03216705148692426,Palestinian.HO
Syria_TellQarassa_Umayyad,0.6848335189515008,0.04797140297105645,Palestinian.HO
Tajikistan_Ksirov_Kushan,0.3458295750803708,0.03833402840809903,Syrian.HO
Syria_TellQarassa_Umayyad,0.6541704249196292,0.03833402840809898,Syrian.HO
Italy_PianSultano_BA.SG,0.44499987088769194,0.04780814828136677,Italian_South.HO
Tajikistan_Ksirov_Kushan,0.15002249055427458,0.03513442496989324,Italian_South.HO
Syria_TellQarassa_Umayyad,0.4049776385580336,0.04072133805193577,Italian_South.HO
