target,p_value
Jew_Ashkenazi.HO,0.24739689406860427
Jew_Ashkenazi.HO_model2,0.06830430584337295
Jew_Ashkenazi.HO_model3,0.09067195654045154
Jew_Ashkenazi.HO_model4,0.3312505019196095
Jew_Ashkenazi.HO_model5,0.10448961220089627
Jew_Ashkenazi.HO_model6,0.37104549100089124
Jew_Ashkenazi.HO_model7,0.20194583885912912
Jew_Moroccan.HO,0.00924769438085178
Jew_Tunisian.HO,0.05041857297316402
Jew_Tunisian.HO_model2,0.061207609349339234
Jew_Tunisian.HO_model3,0.05904577815076486
Jew_Libyan.HO,0.02084509926965325
Jew_Yemenite.HO,7.800903564065142e-4
Jew_Iranian.HO,0.06260094120671425
Jew_Iraqi.HO,0.008661138093592771
Jew_Georgian.HO,0.11678851047277207
Jew_Turkish.HO,0.1356197212468211
Jew_Turkish.HO_model2,0.07502899845713779
Jew_Turkish.HO_model3,0.09222339618177423
Lebanese.HO,0.0996696066586146
Cypriot.HO,0.018236037552622934
Palestinian.HO,3.9054771390788765e-4
Syrian.HO,0.016749079959904455
Italian_South.HO,0.18699042220168616
Italian_South.HO_model2,0.15166675292579812
