target,p_value
Jew_Ashkenazi.HO,0.011787989928855958
Jew_Moroccan.HO,0.08335370440798691
Jew_Tunisian.HO,0.10893674367944836
Jew_Libyan.HO,0.12441814562585755
Jew_Yemenite.HO,0.12035849207493157
Jew_Iranian.HO,0.015509678820822473
Jew_Iraqi.HO,0.48275880915901526
Jew_Georgian.HO,7.787372219737797e-20
Jew_Turkish.HO,0.2144587617178598
Lebanese.HO,0.01704418268787671
Cypriot.HO,0.07852041235299195
Palestinian.HO,0.010766764084381701
Syrian.HO,0.03234511318001799
Italian_South.HO,0.15147032254826445
